RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;core/src/test/java/org/syncope/core/test/persistence/SchemaMappingDAOTest.java;67;190;94;31,67;0;0;0;6;1;143;42;23,83;No
1;core/src/test/java/org/syncope/core/test/persistence/relationships/ResourceTest.java;153;679;203;14,45;-21;203;-0,45;47;4;3898;1096;82,94;Yes
1;core/src/test/java/org/syncope/core/test/persistence/relationships/SchemaMappingTest.java;95;406;231;50,75;0;0;0;8;1;206;42;25,75;No
1;client/src/main/java/org/syncope/client/to/DerivedSchemaTOs.java;35;44;42;14,67;0;0;0;3;1;132;56;44,00;No
1;client/src/main/java/org/syncope/client/to/SchemaTOs.java;34;43;41;14,33;0;0;0;3;1;132;56;44,00;No
1;client/src/main/java/org/syncope/client/to/UserTOs.java;34;51;41;12,75;0;0;0;4;1;145;56;36,25;No
1;client/src/main/java/org/syncope/client/validation/SyncopeClientCompositeErrorException.java;59;118;72;19,67;0;0;0;6;3;2601;1096;433,50;No
1;client/src/main/java/org/syncope/client/validation/SyncopeClientErrorHandler.java;77;153;88;15,30;0;0;0;10;3;2720;1096;272,00;No
1;client/src/main/java/org/syncope/client/validation/SyncopeClientException.java;48;101;59;16,83;0;0;0;6;3;2234;1096;372,33;No
1;client/src/main/java/org/syncope/types/SyncopeClientExceptionType.java;57;370;67;9,25;6;67;0,15;40;3;3591;1096;89,78;No
1;core/src/test/java/org/syncope/core/test/rest/DerivedSchemaTestITCase.java;34;165;70;13,75;0;0;0;12;4;2817;1096;234,75;Yes
1;core/src/main/java/org/syncope/core/persistence/SpringHibernateJPAWorkflowStore.java;36;73;41;12,17;0;0;0;6;1;89;40;14,83;Yes
1;client/src/main/java/org/syncope/client/to/ConnectorInstanceTO.java;53;285;70;12,95;45;70;2,05;22;3;2889;1096;131,32;Yes
1;client/src/main/java/org/syncope/client/to/ConnectorInstanceTOs.java;35;71;42;14,20;0;0;0;5;1;166;56;33,20;No
1;client/src/main/java/org/syncope/client/to/PropertyTO.java;31;100;38;9,09;0;0;0;11;3;2717;1096;247,00;Yes
1;core/src/main/java/org/syncope/core/persistence/util/ApplicationContextManager.java;26;54;31;6,00;0;0;0;9;3;2293;1096;254,78;Yes
1;core/src/main/java/org/syncope/core/persistence/util/ApplicationContextProvider.java;27;71;30;7,89;6;30;0,67;9;3;2707;1096;300,78;Yes
1;core/src/main/java/org/syncope/core/rest/controller/ConnectorInstanceController.java;318;1649;411;40,22;10;411;0,24;41;5;3452;1096;84,20;Yes
1;core/src/main/java/org/syncope/core/rest/data/ConnectorInstanceDataBinder.java;164;589;214;17,32;8;214;0,24;34;4;3149;1096;92,62;Yes
1;core/src/test/java/org/syncope/core/test/rest/ConnectorInstanceTestITCase.java;149;1104;198;22,53;-3;198;-0,06;49;5;3609;1096;73,65;Yes
1;client/src/main/java/org/syncope/client/to/ConnectorBundleTO.java;63;137;82;15,22;0;0;0;9;3;2348;1096;260,89;Yes
1;client/src/main/java/org/syncope/client/to/ConnectorBundleTOs.java;44;63;54;15,75;0;0;0;4;1;152;56;38,00;No
1;client/src/main/java/org/syncope/client/to/SchemaMappingTO.java;89;191;111;21,22;0;0;0;9;3;2372;1096;263,56;No
1;client/src/main/java/org/syncope/client/to/SchemaMappingTOs.java;54;80;66;20,00;0;0;0;4;1;152;56;38,00;No
1;core/src/main/java/org/syncope/core/persistence/ConnectorInstanceBeansLoader.java;88;118;105;19,67;0;0;0;6;1;97;23;16,17;No
1;core/src/main/java/org/syncope/core/persistence/PropagationManager.java;199;4218;301;36,68;163;246;1,42;115;5;4629;1096;40,25;Yes
1;core/src/main/java/org/syncope/core/rest/controller/SchemaMappingController.java;232;319;319;159,50;0;0;0;2;1;44;23;22,00;No
1;core/src/main/java/org/syncope/core/rest/data/SchemaMappingDataBinder.java;155;779;200;16,57;3;200;0,06;47;4;3716;1096;79,06;Yes
1;core/src/test/java/org/syncope/core/test/persistence/relationships/PropagationManagerTest.java;88;191;120;17,36;0;0;0;11;1;251;56;22,82;Yes
1;core/src/test/java/org/syncope/core/test/rest/SchemaMappingTestITCase.java;102;146;134;36,50;0;0;0;4;1;127;42;31,75;No
1;core/src/main/java/org/syncope/core/persistence/dao/WorkflowEntryDAO.java;20;24;24;12,00;0;0;0;2;1;43;31;21,50;No
1;core/src/main/java/org/syncope/core/persistence/dao/impl/WorkflowEntryDAOImpl.java;35;39;39;19,50;0;0;0;2;1;43;31;21,50;No
1;core/src/main/java/org/syncope/core/workflow/Constants.java;23;104;25;7,43;7;25;0,50;14;1;310;73;22,14;No
1;core/src/main/java/org/syncope/core/workflow/IsValidToken.java;36;67;43;13,40;0;0;0;5;1;171;73;34,20;No
1;core/src/main/java/org/syncope/core/workflow/OSWorkflowComponent.java;29;41;33;8,20;0;0;0;5;1;224;73;44,80;No
1;core/src/main/java/org/syncope/core/workflow/SendEmail.java;29;34;34;17,00;0;0;0;2;1;41;31;20,50;No
1;core/src/main/java/org/syncope/core/workflow/WorkflowInitException.java;60;93;75;23,25;0;0;0;4;1;93;43;23,25;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/CheckIfUserIdAlreadyExists.java;85;96;94;32,00;0;0;0;3;1;54;31;18,00;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/IsMobileApplication.java;43;49;49;24,50;0;0;0;2;1;42;31;21,00;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/OpenAMActivate.java;97;145;106;36,25;0;0;0;4;1;55;31;13,75;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/OpenAMCreate.java;104;146;113;36,50;0;0;0;4;1;55;31;13,75;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/SendSMSText.java;32;37;37;18,50;0;0;0;2;1;42;31;21,00;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/StoreActivationDate.java;52;59;59;29,50;0;0;0;2;1;42;31;21,00;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/StoreUserIdAsCaller.java;50;55;55;27,50;0;0;0;2;1;42;31;21,00;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/Utils.java;47;56;56;28,00;0;0;0;2;1;42;31;21,00;No
1;core/src/main/java/org/syncope/core/workflow/BaseSendEmail.java;80;167;94;15,18;2;94;0,18;11;1;232;59;21,09;No
1;core/src/main/java/org/syncope/core/workflow/prcsiam/SendEmail.java;59;139;66;23,17;0;0;0;6;1;63;17;10,50;No
1;core/src/main/java/org/syncope/core/persistence/AsymmetricCipher.java;61;75;74;37,50;74;74;37,00;2;1;21;12;10,50;No
1;client/src/main/java/org/syncope/client/to/ResourceTO.java;48;332;58;14,43;34;58;1,48;23;3;3075;1096;133,70;No
1;client/src/main/java/org/syncope/client/to/ResourceTOs.java;46;57;55;19,00;0;0;0;3;1;131;56;43,67;No
1;core/src/main/java/org/syncope/core/rest/controller/ResourceController.java;402;1355;565;27,65;66;565;1,35;49;5;3700;1096;75,51;No
1;core/src/test/java/org/syncope/core/test/rest/ResourceTestITCase.java;124;647;167;16,59;-9;167;-0,23;39;5;3311;1096;84,90;Yes
1;console/src/main/java/org/syncope/console/pages/ConnectorsModalPage.java;206;1541;253;32,10;94;253;1,96;48;3;3461;1096;72,10;Yes
1;console/src/main/java/org/syncope/console/pages/DerivedSchemaModalPage.java;97;350;121;15,91;14;121;0,64;22;3;3011;1096;136,86;No
1;console/src/main/java/org/syncope/console/pages/SchemaModalPage.java;124;687;162;22,16;18;162;0,58;31;3;3173;1096;102,35;No
