RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;35;41;41;41,00;41;41;41,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;53;79;65;39,50;66;65;33,00;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;39;55;45;18,33;54;45;18,00;3;3;417;207;139,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;42;51;47;25,50;47;47;23,50;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;158;203;185;50,75;183;185;45,75;4;3;476;207;119,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;43;49;49;49,00;49;49;49,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;41;50;50;50,00;50;50;50,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;77;100;97;50,00;98;97;49,00;2;2;300;207;150,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;120;138;138;138,00;138;138;138,00;1;1;207;207;207,00;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;35;43;43;43,00;43;43;43,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;35;42;42;42,00;42;42;42,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;50;56;56;56,00;56;56;56,00;1;1;207;207;207,00;Yes
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;47;52;51;26,00;51;51;25,50;2;2;378;207;189,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;35;41;41;41,00;41;41;41,00;1;1;207;207;207,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;93;111;104;55,50;104;104;52,00;2;2;378;207;189,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;46;54;54;54,00;54;54;54,00;1;1;207;207;207,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;142;163;162;81,50;162;162;81,00;2;2;378;207;189,00;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;123;155;153;77,50;153;153;76,50;2;2;378;207;189,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;37;43;43;43,00;43;43;43,00;1;1;207;207;207,00;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;36;42;41;21,00;41;41;20,50;2;2;378;207;189,00;No
