Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;No;Sensitive Learning;47;54;279;74;0.47;0.39;0.79;0.24
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;oversampling;No;51;63;270;70;0.45;0.42;0.73;0.24
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;oversampling;Sensitive Threshold;38;47;286;83;0.45;0.31;0.59;0.19
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;oversampling;Sensitive Learning;51;64;269;70;0.44;0.42;0.75;0.23
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;undersampling;No;45;54;279;76;0.45;0.37;0.76;0.22
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;undersampling;Sensitive Threshold;36;44;289;85;0.45;0.3;0.58;0.19
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;undersampling;Sensitive Learning;50;59;274;71;0.46;0.41;0.77;0.24
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;SMOTE;No;52;64;269;69;0.45;0.43;0.75;0.24
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;SMOTE;Sensitive Threshold;45;50;283;76;0.47;0.37;0.61;0.24
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;SMOTE;Sensitive Learning;54;67;266;67;0.45;0.45;0.78;0.25
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;No;No;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;No;Sensitive Threshold;16;0;333;105;1;0.13;0.57;0.18
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;No;Sensitive Learning;121;0;333;0;1;1;1;1
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;oversampling;No;116;53;280;5;0.69;0.96;0.97;0.71
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;oversampling;Sensitive Threshold;68;0;333;53;1;0.56;0.78;0.65
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;oversampling;Sensitive Learning;118;46;287;3;0.72;0.98;0.99;0.75
BOOKKEEPER;3;30.09;36.84;26.65;Random Forest;No;undersampling;No;121;45;288;0;0.73;1;1;0.77
