RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; MAX_ChgSet ; BUGGYNESS 
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;1;1;207;207;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;2;2;378;207;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;1;1;207;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;2;2;378;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;2;2;378;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;1;1;207;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;5;3;537;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;4;3;488;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;3;2;471;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;2;2;300;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;1;1;207;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;4;3;472;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;2;2;378;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;2;2;378;207;No
