RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; BUGGYNESS 
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;0;0;0;No
