Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,78,2,2,102,100,97,33,195,98,98.0,378,281,189,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,120,1,1,138,138,138,138,138,138,138.0,281,281,281,Y
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,35,1,1,43,43,43,43,43,43,43.0,281,281,281,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,35,1,1,42,42,42,42,42,42,42.0,281,281,281,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,50,1,1,56,56,56,56,56,56,56.0,281,281,281,Y
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,47,2,2,53,52,51,26,102,51,51.0,452,281,226,N
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,35,1,1,41,41,41,41,41,41,41.0,281,281,281,N
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,90,2,2,118,111,104,14,208,104,104.0,452,281,226,N
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,46,1,1,54,54,54,54,54,54,54.0,281,281,281,N
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,141,2,2,164,163,162,82,324,162,162.0,452,281,226,Y
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5842,2,2,18077,12222,6095,52,12462,6367,6231.0,176,171,88,Y
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,123,2,2,157,155,153,52,306,153,153.0,452,281,226,N
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,37,1,1,43,43,43,43,43,43,43.0,281,281,281,Y
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,35,2,2,43,42,41,21,82,41,41.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,79,3,2,205,155,104,9,313,105,104.0,549,281,183,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,84,5,3,191,148,103,7,518,105,104.0,619,281,124,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,70,4,3,160,126,91,6,365,92,91.0,567,281,142,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,87,3,2,201,151,100,11,301,101,100.0,549,281,183,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,37,1,1,45,45,45,45,45,45,45.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,246,2,2,291,290,289,145,578,289,289.0,452,281,226,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,28,2,2,38,35,31,9,63,32,32.0,378,281,189,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,94,1,1,111,111,111,111,111,111,111.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,30,2,2,37,36,35,18,70,35,35.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,65,1,1,81,81,81,81,81,81,81.0,281,281,281,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,23,1,1,27,27,27,27,27,27,27.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,23,1,1,28,28,28,28,28,28,28.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,26,2,2,31,30,29,15,58,29,29.0,452,281,226,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,459,4,3,634,600,561,24,2257,566,564.0,550,281,138,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,54,2,2,96,80,64,20,128,64,64.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,26,2,2,31,30,29,15,58,29,29.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,53,2,2,66,65,64,33,128,64,64.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,33,2,2,43,40,37,10,74,37,37.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,58,2,2,90,79,68,20,136,68,68.0,452,281,226,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,132,3,2,176,165,153,15,460,154,153.0,549,281,183,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,62,2,2,74,73,72,37,144,72,72.0,452,281,226,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,335,6,3,415,400,364,17,2268,385,378.0,612,281,102,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,67,2,2,80,78,76,26,152,76,76.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,139,3,2,167,163,158,33,475,159,158.0,549,281,183,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,619,3,2,1035,886,736,19,2209,737,736.0,549,281,183,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,64,2,2,78,76,74,25,148,74,74.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,78,3,2,100,97,93,24,280,94,93.0,549,281,183,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,21,1,1,22,22,22,22,22,22,22.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,357,3,2,451,439,426,34,1279,427,426.0,549,281,183,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,49,1,1,62,62,62,62,62,62,62.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,50,2,2,60,59,58,30,116,58,58.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,82,2,2,101,96,91,16,182,91,91.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,26,2,2,29,28,27,14,54,27,27.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,67,2,2,81,79,77,26,154,77,77.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,583,3,2,780,742,703,27,2110,704,703.0,549,281,183,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,55,2,2,71,67,63,17,126,63,63.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,32,1,1,37,37,37,37,37,37,37.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,56,2,2,66,65,64,33,128,64,64.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,98,2,2,130,127,124,32,248,124,124.0,452,281,226,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,4,2,174,167,159,21,638,160,160.0,578,281,145,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,30,2,2,46,41,36,8,72,36,36.0,452,281,226,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,49,2,2,62,60,57,20,115,58,58.0,378,281,189,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,52,1,1,62,62,62,62,62,62,62.0,281,281,281,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,106,4,2,154,142,129,13,518,130,130.0,578,281,145,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,63,2,2,78,76,73,25,147,74,74.0,378,281,189,Y
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,72,3,2,89,86,82,22,247,83,82.0,549,281,183,N
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,61,1,1,74,74,74,74,74,74,74.0,281,281,281,N
