RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;65;3;2;471;207;157,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;50;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java;210;4;3;389;207;97,25;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java;158;4;3;389;207;97,25;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;42;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;47;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;205;3;2;406;207;135,33;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;114;3;2;471;207;157,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;193;4;2;499;207;124,75;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;51;2;2;300;207;150,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;54;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;90;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;137;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;633;3;2;406;207;135,33;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;82;3;2;406;207;135,33;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;220;3;2;406;207;135,33;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;139;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;107;8;3;541;207;67,63;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;93;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;44;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;64;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;107;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;44;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;243;3;2;471;207;157,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;46;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;219;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;45;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;171;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;54;2;2;378;207;189,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;258;4;3;473;207;118,25;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;37;1;1;207;207;207,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;78;2;2;378;207;189,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCacheTest.java;125;8;2;371;171;46,38;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;92;6;2;300;171;50,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;56;4;2;156;93;39,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;84;3;3;211;171;70,33;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;6093;2;2;172;171;86,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;105;3;2;266;171;88,67;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;104;3;2;140;93;46,67;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;101;2;1;34;27;17,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;678;6;2;213;93;35,50;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;199;3;2;46;39;15,33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;70;1;1;27;27;27,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;308;3;1;70;39;23,33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;222;3;1;45;39;15,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;64;1;1;28;28;28,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;40;1;1;28;28;28,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;54;2;1;72;39;36,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;195;4;2;45;39;11,25;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;341;4;2;45;39;11,25;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;46;1;1;39;39;39,00;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;191;1;1;3;3;3,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;231;2;1;37;33;18,50;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java;174;1;1;33;33;33,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;477;1;1;33;33;33,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;175;1;1;33;33;33,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;130;1;1;33;33;33,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;91;1;1;33;33;33,00;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;83;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;40;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;40;1;1;33;33;33,00;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;40;1;1;33;33;33,00;No
