Dataset;#TrainingRelease;%Training;%DefectiveTraining;%DefectiveTesting;Classifier;Balancing;FeatureSelection;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;Under Sampling;Best First;11;1;148;429;0.92;0.03;0.66;0.01
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;Over Sampling;Best First;40;5;144;400;0.89;0.09;0.64;0.03
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;SMOTE;Best First;10;1;148;430;0.91;0.02;0.67;0.01
bookkeeper;4;45.66;17.62;74.7;IBk;No;No;50;1;148;390;0.98;0.11;0.56;0.06
bookkeeper;4;45.66;17.62;74.7;IBk;Under Sampling;No;188;31;118;252;0.86;0.43;0.62;0.15
bookkeeper;4;45.66;17.62;74.7;IBk;Over Sampling;No;59;7;142;381;0.89;0.13;0.56;0.05
bookkeeper;4;45.66;17.62;74.7;IBk;SMOTE;No;50;3;146;390;0.94;0.11;0.55;0.05
bookkeeper;4;45.66;17.62;74.7;IBk;No;Best First;70;4;145;370;0.95;0.16;0.51;0.07
bookkeeper;4;45.66;17.62;74.7;IBk;Under Sampling;Best First;154;36;113;286;0.81;0.35;0.56;0.07
bookkeeper;4;45.66;17.62;74.7;IBk;Over Sampling;Best First;111;13;136;329;0.9;0.25;0.55;0.1
bookkeeper;4;45.66;17.62;74.7;IBk;SMOTE;Best First;75;5;144;365;0.94;0.17;0.51;0.08
bookkeeper;5;64.61;34.36;59.42;Random Forest;No;No;247;29;152;18;0.89;0.93;0.94;0.78
bookkeeper;5;64.61;34.36;59.42;Random Forest;Under Sampling;No;265;66;115;0;0.8;1;0.93;0.67
bookkeeper;5;64.61;34.36;59.42;Random Forest;Over Sampling;No;230;41;140;35;0.85;0.87;0.91;0.64
bookkeeper;5;64.61;34.36;59.42;Random Forest;SMOTE;No;251;32;149;14;0.89;0.95;0.93;0.78
bookkeeper;5;64.61;34.36;59.42;Random Forest;No;Best First;262;30;151;3;0.9;0.99;0.91;0.84
