Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;No;Sensitive Learning;31;25;312;86;0.55;0.26;0.82;0.23
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;oversampling;No;72;87;250;45;0.45;0.62;0.77;0.32
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;oversampling;Sensitive Threshold;31;15;322;86;0.67;0.26;0.61;0.27
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;oversampling;Sensitive Learning;79;110;227;38;0.42;0.68;0.74;0.29
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;undersampling;No;96;114;223;21;0.46;0.82;0.81;0.38
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;undersampling;Sensitive Threshold;11;11;326;106;0.5;0.09;0.53;0.08
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;undersampling;Sensitive Learning;77;107;230;40;0.42;0.66;0.76;0.29
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;SMOTE;No;87;89;248;30;0.49;0.74;0.81;0.41
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;SMOTE;Sensitive Threshold;13;17;320;104;0.43;0.11;0.53;0.08
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;SMOTE;Sensitive Learning;60;59;278;57;0.5;0.51;0.77;0.34
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;No;No;90;115;222;27;0.44;0.77;0.71;0.34
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;No;Sensitive Threshold;90;115;222;27;0.44;0.77;0.71;0.34
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;No;Sensitive Learning;90;115;222;27;0.44;0.77;0.71;0.34
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;oversampling;No;92;144;193;25;0.39;0.79;0.7;0.27
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;oversampling;Sensitive Threshold;92;143;194;25;0.39;0.79;0.68;0.27
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;oversampling;Sensitive Learning;85;136;201;32;0.38;0.73;0.68;0.25
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;undersampling;No;91;137;200;26;0.4;0.78;0.69;0.28
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;undersampling;Sensitive Threshold;91;137;200;26;0.4;0.78;0.69;0.28
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;undersampling;Sensitive Learning;78;145;192;39;0.35;0.67;0.63;0.18
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;SMOTE;No;84;96;241;33;0.47;0.72;0.72;0.37
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;SMOTE;Sensitive Threshold;84;96;241;33;0.47;0.72;0.72;0.37
BOOKKEEPER;2;16.42;45.32;25.77;IBk;No;SMOTE;Sensitive Learning;79;110;227;38;0.42;0.68;0.64;0.29
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;No;No;84;88;249;33;0.49;0.72;0.73;0.4
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;No;Sensitive Threshold;84;88;249;33;0.49;0.72;0.73;0.4
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;No;Sensitive Learning;84;88;249;33;0.49;0.72;0.73;0.4
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;oversampling;No;84;114;223;33;0.42;0.72;0.71;0.31
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;oversampling;Sensitive Threshold;84;114;223;33;0.42;0.72;0.69;0.31
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;oversampling;Sensitive Learning;78;109;228;39;0.42;0.67;0.67;0.29
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;undersampling;No;86;100;237;31;0.46;0.74;0.72;0.37
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;undersampling;Sensitive Threshold;86;100;237;31;0.46;0.74;0.72;0.37
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;undersampling;Sensitive Learning;78;143;194;39;0.35;0.67;0.63;0.19
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;SMOTE;No;85;94;243;32;0.47;0.73;0.73;0.38
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;SMOTE;Sensitive Threshold;85;94;243;32;0.47;0.73;0.72;0.38
BOOKKEEPER;2;16.42;45.32;25.77;IBk;Best first;SMOTE;Sensitive Learning;70;94;243;47;0.43;0.6;0.65;0.28
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;No;No;32;49;288;85;0.4;0.27;0.71;0.14
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;No;Sensitive Threshold;31;46;291;86;0.4;0.26;0.56;0.14
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;No;Sensitive Learning;31;46;291;86;0.4;0.26;0.71;0.14
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;oversampling;No;35;52;285;82;0.4;0.3;0.71;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;oversampling;Sensitive Threshold;34;49;288;83;0.41;0.29;0.57;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;oversampling;Sensitive Learning;45;61;276;72;0.42;0.38;0.69;0.21
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;undersampling;No;33;47;290;84;0.41;0.28;0.71;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;undersampling;Sensitive Threshold;30;46;291;87;0.39;0.26;0.56;0.14
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;undersampling;Sensitive Learning;47;72;265;70;0.39;0.4;0.69;0.19
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;SMOTE;No;35;52;285;82;0.4;0.3;0.71;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;SMOTE;Sensitive Threshold;33;49;288;84;0.4;0.28;0.57;0.15
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;No;SMOTE;Sensitive Learning;35;51;286;82;0.41;0.3;0.7;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;No;No;41;55;282;76;0.43;0.35;0.75;0.2
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;No;Sensitive Threshold;33;47;290;84;0.41;0.28;0.57;0.16
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;No;Sensitive Learning;37;48;289;80;0.44;0.32;0.74;0.19
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;oversampling;No;49;65;272;68;0.43;0.42;0.72;0.23
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;oversampling;Sensitive Threshold;36;49;288;81;0.42;0.31;0.58;0.18
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;oversampling;Sensitive Learning;54;79;258;63;0.41;0.46;0.72;0.22
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;undersampling;No;42;57;280;75;0.42;0.36;0.75;0.2
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;undersampling;Sensitive Threshold;34;46;291;83;0.42;0.29;0.58;0.17
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;undersampling;Sensitive Learning;56;86;251;61;0.39;0.48;0.71;0.21
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;SMOTE;No;49;67;270;68;0.42;0.42;0.74;0.22
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;SMOTE;Sensitive Threshold;43;52;285;74;0.45;0.37;0.61;0.23
BOOKKEEPER;2;16.42;45.32;25.77;Naive Bayes;Best first;SMOTE;Sensitive Learning;49;66;271;68;0.43;0.42;0.73;0.22
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;No;No;117;0;337;0;1;1;1;1
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;No;Sensitive Threshold;20;0;337;97;1;0.17;0.59;0.23
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;No;Sensitive Learning;59;0;337;58;1;0.5;1;0.6
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;oversampling;No;106;53;284;11;0.67;0.91;0.97;0.67
BOOKKEEPER;3;30.09;36.44;25.77;Random Forest;No;oversampling;Sensitive Threshold;67;2;335;50;0.97;0.57;0.78;0.65
